angol	magyar	felvetel	helyes	helytelen
boggle	rémkép	2005.10.21	154	13
spillover	bukógát	2003.05.08	123	20
expiration	esedékesség	2002.12.27	124	1
smart	divatos	2003.01.18	153	25
cassava	maniókalepény	2003.03.21	158	5
else	más	2004.05.06	56	24
kipper	pasas	2004.02.28	126	4
good	érvényes	2005.09.22	131	3
worthlessness	hitványság	2004.10.06	149	24
idea	ötlet	2003.12.26	102	15
stressful	hangsúlyos	2003.11.18	72	23
depression	hanyatlás	2005.08.25	158	6
toothsome	ínyenc	2005.03.21	68	7
pleased	elégedett	2005.10.14	84	14
quince	birs	2004.08.13	91	2
alike	egyformán	2005.08.06	40	22
consistence	állag	2003.10.18	84	24
slave	rabszolga	2005.01.17	72	5
pepper	bors	2005.09.15	108	2
photo	kép	2002.12.10	52	24
flush	tisztítás	2005.02.05	47	17
purpose	szándék	2002.12.18	61	3
frazzle	kirojtosodás	2003.12.04	53	22
calcination	kalcinálás	2005.10.24	150	4
precariousness	ingatagság	2005.05.26	107	18
house	hajlék	2003.10.12	105	8
frowzy	ápolatlan	2004.10.24	135	24
rich	szórakoztató	2004.07.12	114	23
deciduous	lombhullató	2005.07.04	136	12
flat	lapos	2003.02.03	138	22
pastel	pasztellkréta	2003.04.10	71	16
occurrence	megtörténés	2003.06.14	62	18
remains	maradványok	2005.05.15	86	10
verb	ige	2005.07.05	57	5
peanuts	bagó	2003.07.08	93	10
right	igazság	2005.11.28	148	11
glacial	jeges	2003.11.11	123	25
alchemy	aranycsinálás	2005.06.29	58	14
bathe	úszás	2005.08.28	133	7
trembling	remegés	2003.03.13	83	8
unaccountable	különös	2003.08.09	136	17
frozen	fagyasztott	2003.08.26	146	6
switch	lovaglópálca	2003.11.01	104	22
explanatory	megmagyarázó	2002.12.03	115	16
coating	burkolás	2003.07.24	153	15
illustrious	híres	2004.09.11	70	9
fog	köd	2004.11.27	105	15
mind	vélemény	2004.05.22	50	12
intonation	hangvétel	2003.11.22	119	12
exhaustion	elhasználás	2003.08.08	95	15
shot	rúgás	2003.12.07	51	13
lynx	hiúz	2003.03.29	145	3
venom	méreg	2005.02.27	102	17
appreciation	áremelkedés	2003.05.03	55	20
relaxation	feloldás	2004.04.22	105	12
relation	kapcsolat	2005.05.08	151	13
pretext	ürügy	2005.06.17	139	16
bit	gyaluvas	2005.07.08	158	4
burnout	kiégetés	2005.09.07	155	18
profiteering	nyerészkedés	2004.12.25	45	12
janitor	cerberus	2003.02.16	127	21
slothfulness	lustaság	2005.06.15	92	4
slip	tévedés	2005.11.17	121	21
satiny	fényes	2003.04.05	94	28
public	nyilvánosság	2004.11.15	83	15
gimp	csipkemintázat	2003.01.20	56	22
operative	fontos	2003.05.13	66	13
period	fázis	2004.10.26	145	2
bloated	duzzadt	2005.05.29	72	20
rate	szakképzettség	2005.03.30	63	26
restrictive	korlátozó	2004.09.22	60	4
postpositive	névutói	2005.04.05	90	17
tabernacle	szentségtartó	2004.02.29	70	5
spring	repedés	2005.01.02	65	7
arm	ruhaujj	2005.03.13	148	0
nubile	anyányi	2003.05.31	99	3
rating	dorgálás	2004.11.21	145	24
symbolical	képletes	2005.01.31	157	20
article	cikk	2003.07.25	123	9
totalitarian	totalitárius	2002.11.15	133	27
exacting	szigorú	2005.06.04	129	4
fanatic	fanatikus	2004.08.23	90	2
stick	sorjázó	2003.02.16	41	8
transfer	átszállás	2003.02.06	155	27
diamond	gyémánt	2002.11.13	84	1
ohmic	ohmos	2004.11.09	53	4
peaked	hegyes	2005.08.22	93	8
skip	felvonóveder	2004.12.13	135	2
rapping	kopogó	2005.08.30	120	6
bewilderment	megrökönyödés	2004.04.17	88	12
rotund	kerek	2004.11.07	127	9
taunting	gúny	2003.02.12	135	5
damper	innivaló	2002.11.30	121	19
guess	becslés	2004.02.03	142	22
coaxing	csábítás	2005.01.18	104	26
bourgeoisie	polgárság	2003.02.12	156	12
rashly	hirtelen	2003.06.25	155	28
offset	eltolt	2003.06.24	115	15
interaction	kölcsönhatás	2005.03.30	71	5
muff	mellérúgás	2003.04.28	155	12
whirlwind	forgószél	2004.09.15	138	21
dextrous	ügyes	2005.03.19	91	12
aboveboard	nyíltan	2004.02.05	41	14
pier	gyámoszlop	2002.11.11	58	0
review	felülvizsgálat	2005.03.06	154	4
centerline	középvonal	2004.07.15	116	29
cognizance	tudomás	2003.10.13	111	14
detoxication	méregtelenítés	2003.12.26	63	0
charring	elszenesítés	2004.10.07	106	10
warp	vontatókötél	2005.10.26	112	3
dispatch	meggyilkolás	2004.12.04	48	27
indebted	lekötelezett	2003.09.10	72	26
cart	taliga	2005.06.23	105	6
gravy	szaft	2005.09.11	74	13
swelling	daganat	2004.12.23	156	5
tumultuous	viharos	2005.02.14	68	2
crash	robaj	2004.12.27	94	8
mate	másodkapitány	2002.11.13	138	12
arming	felfegyverzés	2005.01.24	68	16
bandage	kötszer	2005.01.16	149	12
businesslike	komoly	2004.10.07	66	28
propitiation	kiengesztelés	2005.12.01	50	27
cord	zsineg	2004.05.14	95	5
seedy	rongyos	2005.12.04	74	19
frumpy	ronda	2003.10.30	150	25
paralysingly	bénítóan	2004.11.13	104	0
coon	pasas	2002.11.20	47	4
ease	kényelem	2003.04.01	116	20
oil	olaj	2003.06.30	74	19
venison	szarvashús	2005.01.20	121	25
stuffing	zsírozószer	2004.10.16	109	11
congestion	torlódás	2005.11.25	81	7
arrival	kiszállás	2003.10.18	133	26
fitfully	görcsösen	2004.10.24	116	2
serf	rabszolga	2003.05.31	117	24
stylishness	elegancia	2003.06.01	95	15
cindrous	salakos	2005.11.28	155	12
fabrication	koholmány	2004.06.27	101	2
vinegar	ecet	2003.09.03	95	14
prime	hajnalhasadás	2004.12.10	42	5
scrimp	fukar	2004.10.15	92	25
canister	bádogdoboz	2005.01.26	95	23
freshwater	édesvízi	2003.08.03	127	11
assurance	bizonyosság	2005.11.22	73	2
stateroom	luxusfülke	2003.06.03	93	26
unrestrictedly	korlátozatlanul	2003.06.13	83	1
apace	rohamléptekkel	2004.07.09	131	4
landlord	háziúr	2005.11.04	57	14
paralegal	ügyvédsegéd	2005.10.11	60	0
clatter	zörgés	2004.09.03	138	19
pretence	jogcím	2003.03.25	53	25
drip	takony	2005.04.09	142	3
carriage	vagon	2005.01.23	102	4
import	értelem	2004.01.07	149	28
proper	igazi	2004.02.07	43	10
worthlessness	érdemtelenség	2002.12.18	74	22
killing	elragadó	2002.11.29	149	3
block	jegyzettömb	2004.08.12	123	24
tangential	tangenciális	2004.08.20	122	3
swift	gyors	2003.03.03	73	23
shuffle	kibúvó	2004.09.02	70	16
repentance	megbánás	2004.03.30	73	23
sedate	nyugodt	2003.08.02	101	19
blinds	roló	2003.09.15	83	11
holiday	ünnep	2004.04.09	156	24
homeless	hajléktalan	2002.11.07	94	6
bur	fülkagyló	2005.12.02	74	20
mortise	csapkötés	2003.02.10	153	26
idiomatic	nyelvi	2004.08.07	86	11
gasification	elgázosítás	2003.09.26	94	4
spar	árboc	2004.08.28	69	22
editorship	szerkesztés	2004.11.24	59	0
ballooning	léghajóvezetés	2003.05.15	117	5
unction	kenet	2005.07.06	116	19
smear	kenet	2003.06.18	156	4
nervy	ideges	2004.08.01	73	21
coupon	élelmiszerjegy	2003.10.01	79	27
ant	hangya	2005.10.24	54	5
torpidness	zsibbadás	2004.11.14	57	17
explainable	igazolható	2005.02.05	159	9
parlor	társalgó	2005.11.11	85	17
shaft	tárna	2004.01.18	42	0
incoherent	zavaros	2003.10.22	133	22
skimpy	kicsi	2003.06.11	106	14
paranoid	paranoiás	2003.07.28	159	17
dilation	dilatáció	2003.10.07	62	2
carbonization	kokszolódás	2003.02.06	93	12
aftershock	utórezgés	2003.12.12	120	9
